State,County,Year,number,percent,lower confidence limit,upper confidence limit,age-adjusted percent,age-adjusted lower confidence limit,age-adjusted upper confidence limit
Alabama,Autauga County,2013,13513,34.1,29,39.3,33.8,28.7,39.2
Alabama,Baldwin County,2013,40365,27.4,24.8,30.5,27.2,24.3,30.6
Alabama,Barbour County,2013,9186,44.4,38.4,50.4,44.7,38.5,51.1
Alabama,Bibb County,2013,6940,40.3,34.1,46.9,40.3,33.9,47.1
Alabama,Blount County,2013,14768,34.6,29.3,40.2,34.9,29.2,40.5
Alabama,Bullock County,2013,3482,43,34.5,52,42.8,34.2,52
Alabama,Butler County,2013,5481,36.3,30.4,42.1,36.6,30.4,42.7
Alabama,Calhoun County,2013,28209,32.2,28.7,35.9,32.2,28.6,36.2
Alabama,Chambers County,2013,10338,39.7,33.6,45.9,40,33.6,46.8
Alabama,Cherokee County,2013,6771,33.6,27.6,40.1,33.9,27.6,41
Alabama,Chilton County,2013,11580,35.9,29.8,42.1,36,29.8,42.7
Alabama,Choctaw County,2013,4207,40.8,35.4,46.2,41.1,35.3,47
Alabama,Clarke County,2013,7157,38.2,32.7,44,38.3,32.4,44.5
Alabama,Clay County,2013,3841,37.3,30.8,44.2,37.7,30.7,44.8
Alabama,Cleburne County,2013,3379,30,23.7,37.7,30.2,23.6,38.3
Alabama,Coffee County,2013,12725,33.7,28.6,39.2,33.7,28.4,39.4
Alabama,Colbert County,2013,15526,37.5,33.3,41.8,37.8,33.3,42.2
Alabama,Conecuh County,2013,3558,36.4,30,43,36.7,29.8,44.1
Alabama,Coosa County,2013,3474,39.7,32.6,47.6,39.8,32.4,48.3
Alabama,Covington County,2013,9794,34,28.7,40,34.5,28.8,41.1
Alabama,Crenshaw County,2013,4136,39.7,32.8,46.1,40.1,32.8,47
Alabama,Cullman County,2013,20319,33.4,28.2,38.5,33.7,28.3,39.4
Alabama,Dale County,2013,13467,36.5,31.7,41.7,36.6,31.5,42
Alabama,Dallas County,2013,12329,40.8,36.8,44.8,40.8,36.4,45.2
Alabama,DeKalb County,2013,15728,30.4,26,35.1,30.5,25.8,35.4
Alabama,Elmore County,2013,21240,35.4,30.7,40.4,35.2,30.5,40.5
Alabama,Escambia County,2013,10798,37.7,33.4,41.9,37.8,33.2,42.4
Alabama,Etowah County,2013,27501,35.1,31.4,39.3,35.2,31.3,39.6
Alabama,Fayette County,2013,4332,33.7,27.8,40.1,33.9,27.5,41
Alabama,Franklin County,2013,7669,33.2,27.8,38.9,33.3,27.7,39.3
Alabama,Geneva County,2013,6899,34.1,28.3,40.5,34.3,28,41.1
Alabama,Greene County,2013,2996,46.3,39,53.5,46.4,38.7,54.2
Alabama,Hale County,2013,4574,40.4,34.7,46.8,40.3,34.2,47.2
Alabama,Henry County,2013,4714,35.8,29.8,41.9,36.1,29.7,42.7
Alabama,Houston County,2013,25127,32.8,29.5,36.3,32.7,29.3,36.4
Alabama,Jackson County,2013,12867,32,26.1,38.3,32.1,25.8,38.9
Alabama,Jefferson County,2013,162871,33.2,31.4,35.2,33,31,35
Alabama,Lamar County,2013,3631,33.6,27.5,39.6,34,27.5,40.7
Alabama,Lauderdale County,2013,23238,32.9,29,36.7,33,28.9,37.1
Alabama,Lawrence County,2013,9042,35.5,29.6,42.2,35.4,29.1,42.5
Alabama,Lee County,2013,32202,29,24.8,33.2,29,25,33.1
Alabama,Limestone County,2013,21768,32.9,28,37.7,32.6,27.6,37.6
Alabama,Lowndes County,2013,3590,45.1,38.2,51.6,45.3,38,52.5
Alabama,Macon County,2013,6657,44.7,37,52.7,44.8,36.8,53.1
Alabama,Madison County,2013,83482,32.3,29.6,35.3,32.2,29.3,35.2
Alabama,Marengo County,2013,6056,40.3,35.4,45.5,40.5,35.2,46.1
Alabama,Marion County,2013,8272,35.5,30.3,41.3,36.1,30.5,42.5
Alabama,Marshall County,2013,22945,33.2,28.1,38.4,33.4,28,38.7
Alabama,Mobile County,2013,112714,37.1,34.8,39.5,37.2,34.8,39.7
Alabama,Monroe County,2013,5773,35.3,29.2,42.1,35.3,28.8,42.1
Alabama,Montgomery County,2013,57641,34.8,31.6,38.2,34.6,31.3,38.1
Alabama,Morgan County,2013,28255,31.6,27.1,36.3,31.5,26.8,36.3
Alabama,Perry County,2013,3053,43,36.5,49.3,43.4,36.5,50
Alabama,Pickens County,2013,5349,36.4,30.8,42.1,36.4,30.5,42.4
Alabama,Pike County,2013,9668,38.4,32.9,44.4,38.6,33.1,44.6
Alabama,Randolph County,2013,5246,30.9,25.6,36.8,31,25.2,37.4
Alabama,Russell County,2013,15684,36.4,30.1,42.3,36.2,29.8,42.1
Alabama,St. Clair County,2013,21299,33,28.7,37.7,33,28.4,37.9
Alabama,Shelby County,2013,44775,30.1,26.8,33.5,29.8,26.4,33.3
Alabama,Sumter County,2013,4041,40.3,34.1,46.6,40.3,33.7,46.7
Alabama,Talladega County,2013,23848,39,35.1,43.3,39.1,35,43.6
Alabama,Tallapoosa County,2013,11637,36.9,32.5,41.4,37.3,32.4,42.1
Alabama,Tuscaloosa County,2013,50708,34.3,31.7,37,34.2,31.6,36.9
Alabama,Walker County,2013,16546,33.2,29.2,37.2,33.3,28.9,37.7
Alabama,Washington County,2013,5056,40.2,33.7,47,40.4,33.5,47.6
Alabama,Wilcox County,2013,3635,44.9,38.8,51.6,45.4,38.6,52.5
Alabama,Winston County,2013,5614,30.2,24.6,36.2,30.2,24.3,36.8
Alaska,Aleutians East Borough,2013,973,33.4,26.9,40.9,33.1,26.6,40.3
Alaska,Aleutians West,2013,1911,39.4,32.7,46,38.7,32.3,45.1
Alaska,Anchorage Municipality,2013,58753,27,25.3,28.6,26.8,25.2,28.5
Alaska,Bethel Census Area,2013,3292,30.3,26.1,34.7,30.3,26.2,34.7
Alaska,Bristol Bay Borough,2013,287,39.7,32.9,47.1,39,32.2,46.8
Alaska,Denali Borough,2013,411,27,21.5,33.1,26.1,20.9,32.1
Alaska,Dillingham Census Area,2013,1220,38,31.8,43.9,37.7,31.6,43.7
Alaska,Fairbanks North Star,2013,20644,28.1,26.1,30.3,28.2,26.2,30.3
Alaska,Haines Borough,2013,512,25.5,19.9,31.4,24.3,18.8,30.6
Alaska,Hoonah-Angoon 2009 Census,2013,533,31.8,25,39.3,31.1,24,39
Alaska,Juneau City and Borough,2013,6987,28.6,25.7,31.7,28.2,25.3,31.2
Alaska,Kenai Peninsula Borough,2013,12045,28.4,26,30.9,27.8,25.3,30.5
Alaska,Ketchikan Gateway Borough,2013,3160,30.8,26.3,35.2,30.2,25.7,34.8
Alaska,Kodiak Island Borough,2013,3023,30.2,25.3,35.2,30,25.2,34.8
Alaska,Lake and Peninsula Borough,2013,358,31.9,25.5,38.5,31.7,25.3,38.2
Alaska,Matanuska-Susitna Borough,2013,20244,30.2,28.1,32.3,29.7,27.5,31.9
Alaska,Nome Census Area,2013,1966,31.7,27,36.8,31.5,26.8,36.5
Alaska,North Slope Borough,2013,2577,36.5,30.7,42.8,36,30.3,42.1
Alaska,Northwest Arctic Borough,2013,1537,32.4,26.7,38.1,32.4,26.8,37.9
Alaska,Petersburg 2009 Census,2013,739,30.5,24.6,37.1,29.9,23.9,36.6
Alaska,Prince of Wales-Hyder 2009 Census,2013,1648,35.2,29.1,41.4,34.8,28.5,41.1
Alaska,Prince of Wales-Outer K 2004 to 2008 Census,2013,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Alaska,Sitka City and Borough,2013,1941,28.7,24.1,33.8,28.3,23.6,33.6
Alaska,Skagway Municipality 2009 Census,2013,243,28.1,20.7,35.8,27.6,20.1,35.2
Alaska,Hoonah-Angoon 2004 to 2008 Census,2013,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Alaska,Southeast Fairbanks Census,2013,1666,33.1,28.6,38,32.6,28,37.6
Alaska,Valdez-Cordova Census Area,2013,2157,30.4,25.8,35.7,29.7,25,34.9
Alaska,Wade Hampton Census Area,2013,1427,32.6,26.4,39,32.3,26.4,39
Alaska,Wrangell City and Borough 2009 Census,2013,560,30.6,24,37.7,29.7,23,37.4
Alaska,Wrangell-Petersburg 2004 to 2008 Census,2013,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Alaska,Yakutat City and Borough,2013,154,31.3,24.5,38.9,30.8,23.8,38.8
Alaska,Yukon-Koyukuk Census Area,2013,1123,28.3,23.8,32.8,28.1,23.5,32.9
Arizona,Apache County,2013,17023,35.2,30.7,39.5,35,30.4,39.4
Arizona,Cochise County,2013,25211,26,23.2,28.8,26.3,23.2,29.4
Arizona,Coconino County,2013,22773,23.2,20.1,26.3,23.1,20,26.1
Arizona,Gila County,2013,11295,27.5,24.1,30.9,28.3,24.1,32.4
Arizona,Graham County,2013,8355,32.5,28.2,37.1,32.6,28.2,37.1
Arizona,Greenlee County,2013,2135,34.7,29.4,40.5,34.5,29.1,40.4
Arizona,La Paz County,2013,5255,32,27.4,37,34.1,28.7,40.4
Arizona,Maricopa County,2013,735213,25.4,24.4,26.5,25.4,24.3,26.5
Arizona,Mohave County,2013,47422,29.6,27.1,32.2,30.4,27.4,33.4
Arizona,Navajo County,2013,22881,30.9,27.2,34.8,31.1,27.2,35.2
Arizona,Pima County,2013,180192,24.2,22.3,26,24.2,22.4,26.2
Arizona,Pinal County,2013,89968,31.6,28.8,34.3,32,29.1,34.8
Arizona,Santa Cruz County,2013,7382,23,18.5,28.1,22.7,18.1,28
Arizona,Yavapai County,2013,43596,25.3,22.9,27.6,25.5,22.5,28.6
Arizona,Yuma County,2013,43302,30.5,26.8,34.7,30.9,27,35.3
Arkansas,Arkansas County,2013,4741,33.8,27.3,39.9,34,27.3,40.5
Arkansas,Ashley County,2013,6635,42.1,36,48.3,43,36.4,49.5
Arkansas,Baxter County,2013,10639,32.3,27.4,37.8,33.8,27.8,40.4
Arkansas,Benton County,2013,50511,30.1,27.2,33.2,30.1,27.1,33.2
Arkansas,Boone County,2013,9525,33.9,28.9,39.6,34.6,29.1,40.9
Arkansas,Bradley County,2013,3261,39,31.6,46.4,39.7,31.8,47.4
Arkansas,Calhoun County,2013,1424,34.2,27.1,41.9,34.6,27,42.8
Arkansas,Carroll County,2013,7525,35.8,29.3,41.9,36.8,29.7,43.5
Arkansas,Chicot County,2013,3654,43.1,36.4,50,43.9,36.9,51.6
Arkansas,Clark County,2013,5755,34.3,27.6,41.2,34.7,27.8,41.7
Arkansas,Clay County,2013,3986,33.7,27,40.8,34.5,27.1,42.4
Arkansas,Cleburne County,2013,6415,31.8,25.9,38.1,32.9,26,40.4
Arkansas,Cleveland County,2013,2263,35.7,28.9,43.5,36.3,29.2,44.6
Arkansas,Columbia County,2013,6418,36.4,30.2,42.5,36.8,30.2,43.3
Arkansas,Conway County,2013,6284,39.7,32.7,46.4,40.6,32.7,47.8
Arkansas,Craighead County,2013,26581,36.4,31.5,41.9,36.5,31.6,41.9
Arkansas,Crawford County,2013,15680,35.1,29.9,40.7,35.1,29.6,41
Arkansas,Crittenden County,2013,13372,38.8,33.9,43.8,38.7,33.6,43.8
Arkansas,Cross County,2013,4847,37.9,30.9,45.5,38.4,31.1,46.7
Arkansas,Dallas County,2013,2157,36.2,28.9,44.1,37,29.1,45.5
Arkansas,Desha County,2013,3553,39.6,33.1,46.4,40,32.9,47.2
Arkansas,Drew County,2013,4696,34.3,27.1,41.4,34.5,27,41.8
Arkansas,Faulkner County,2013,28735,33.2,28.5,38,33.1,28.5,37.8
Arkansas,Franklin County,2013,4893,37.1,30.2,44,37.8,30.3,45.3
Arkansas,Fulton County,2013,3125,32.9,26.6,39.9,33.9,26.8,41.9
Arkansas,Garland County,2013,24169,32.3,27.8,36.8,33.2,28.3,38.3
Arkansas,Grant County,2013,5113,38.3,31.4,45.2,38.5,31.4,46
Arkansas,Greene County,2013,9796,31.2,25.1,37.7,31.2,24.8,37.9
Arkansas,Hempstead County,2013,6444,40.3,33.4,46.9,40.8,33.6,47.9
Arkansas,Hot Spring County,2013,8795,34.7,29.1,40.4,34.9,29,40.9
Arkansas,Howard County,2013,3457,35.7,28.9,43.1,36.1,28.8,43.8
Arkansas,Independence County,2013,10059,37.2,31.3,43.4,37.7,31.5,44.1
Arkansas,Izard County,2013,3617,33.9,27.3,40.6,35,27.7,42.6
Arkansas,Jackson County,2013,5107,37.2,29.9,44.8,37.5,29.9,45.5
Arkansas,Jefferson County,2013,21898,40.7,36.7,44.7,41,36.7,45.3
Arkansas,Johnson County,2013,6822,36.4,30.1,43.2,36.7,30.1,43.9
Arkansas,Lafayette County,2013,2026,36.3,29.6,43.9,36.9,29.6,45.1
Arkansas,Lawrence County,2013,4047,31.8,24.4,39.1,32.3,24.3,40.1
Arkansas,Lee County,2013,2798,35.7,29,42.9,35.9,29.1,43.2
Arkansas,Lincoln County,2013,4195,37.5,30,45.7,37.4,29.8,45.7
Arkansas,Little River County,2013,3117,32.7,25.2,40.3,33.1,25.1,41.3
Arkansas,Logan County,2013,6169,37.5,30.5,44.6,38.2,30.6,46
Arkansas,Lonoke County,2013,17984,35.8,30.3,41.3,35.6,30,41.3
Arkansas,Madison County,2013,3964,34,27.8,40.7,34.2,27.5,41.4
Arkansas,Marion County,2013,4215,31.7,25.6,38.3,32.6,25.5,40.1
Arkansas,Miller County,2013,11473,35.9,29.7,41.7,36,29.6,42.1
Arkansas,Mississippi County,2013,12543,39.8,33.9,45,39.8,33.7,45.1
Arkansas,Monroe County,2013,2186,37.5,30.6,46,38.1,30.4,47.2
Arkansas,Montgomery County,2013,2442,33.8,27,41.6,34.8,27.2,43.8
Arkansas,Nevada County,2013,2376,36,29.2,43.1,36.5,29.1,44.2
Arkansas,Newton County,2013,2156,34.2,27.7,41.5,35.2,28.1,43.4
Arkansas,Ouachita County,2013,6518,34.8,29.5,40.2,35.2,29.4,41.3
Arkansas,Perry County,2013,2945,37.5,30.3,44.7,38.1,30.5,45.7
Arkansas,Phillips County,2013,6511,45.5,40,51,46.3,40.3,52.4
Arkansas,Pike County,2013,3106,37.8,30.5,45.4,38.5,30.6,46.6
Arkansas,Poinsett County,2013,6884,38.4,31.6,46.2,38.9,31.6,47.2
Arkansas,Polk County,2013,5567,36.7,31.1,42.8,37.8,31.6,44.6
Arkansas,Pope County,2013,14614,32.1,27.1,37.3,32,27,37.3
Arkansas,Prairie County,2013,2341,36.3,29.4,43.4,37.3,29.7,45
Arkansas,Pulaski County,2013,91723,31.7,29.5,33.9,31.5,29.4,33.9
Arkansas,Randolph County,2013,4704,35.3,28.7,42,36.1,28.8,43.6
Arkansas,St. Francis County,2013,8713,42.5,36.4,49,42.5,36.3,49.1
Arkansas,Saline County,2013,27482,32.5,28.3,36.8,32.8,28.4,37.3
Arkansas,Scott County,2013,2600,32.5,24.9,40.1,32.9,24.9,41.2
Arkansas,Searcy County,2013,2180,35,28.5,41.8,35.9,28.7,43.5
Arkansas,Sebastian County,2013,34196,36.9,32.9,41.1,37.1,32.8,41.5
Arkansas,Sevier County,2013,4352,36.7,30.1,43.7,36.8,30,43.9
Arkansas,Sharp County,2013,4898,37.3,30.2,44.4,38.9,31,46.8
Arkansas,Stone County,2013,3170,32.6,26.3,39.2,33.7,26.7,41.4
Arkansas,Union County,2013,11882,39.4,33.8,45.6,40,34.1,46.5
Arkansas,Van Buren County,2013,4727,35.6,29.2,42.6,36.9,29.4,44.7
Arkansas,Washington County,2013,46742,30.6,27.4,33.8,30.5,27.4,33.7
Arkansas,White County,2013,20712,36.3,31.2,41.8,36.6,31.3,42.3
Arkansas,Woodruff County,2013,1906,35.8,28.7,43.3,36.4,28.7,44.8
Arkansas,Yell County,2013,5848,37.1,30.8,44,37.6,30.9,44.9
California,Alameda County,2013,239490,20,18,22.1,19.6,17.7,21.7
California,Alpine County,2013,206,23.4,17.5,30,22.5,16.4,29.6
California,Amador County,2013,7705,25.5,19.9,31.7,25.1,19.3,32.1
California,Butte County,2013,43754,25.9,22,30,25.8,21.8,30.2
California,Calaveras County,2013,8383,23.5,18.3,29.5,23,17.4,29.5
California,Colusa County,2013,3743,25.4,19.3,32.8,25.1,19.1,32.7
California,Contra Costa County,2013,202273,25,22.2,28,24.6,21.7,27.7
California,Del Norte County,2013,5450,25.5,19.1,33.3,25.2,18.5,33.1
California,El Dorado County,2013,28635,20.6,16.9,24.7,19.8,16,23.9
California,Fresno County,2013,173009,26.6,23.3,30,26.5,23.2,29.8
California,Glenn County,2013,5252,26.7,19.8,34.2,26.5,19.4,34.2
California,Humboldt County,2013,26419,25.5,20.9,30.7,25.3,20.7,30.6
California,Imperial County,2013,31884,26.3,20.6,33,26.2,20.5,32.9
California,Inyo County,2013,3293,23.3,17.8,29.1,22.7,17.1,29
California,Kern County,2013,177032,30.3,26.9,34.1,30.1,26.8,33.8
California,Kings County,2013,27793,26.4,20.9,33.3,26.4,21,33
California,Lake County,2013,12950,26.2,21,32,25.8,20.1,32.3
California,Lassen County,2013,6152,23.9,18.3,29.8,23.7,18.2,29.5
California,Los Angeles County,2013,1592424,21.4,20.4,22.5,21.2,20.2,22.3
California,Madera County,2013,27896,26.5,21.3,32.3,26.3,21,32.3
California,Marin County,2013,37852,18.9,15.5,22.6,18.2,14.8,22.1
California,Mariposa County,2013,3507,24.4,18.7,31.2,23.8,17.7,31.1
California,Mendocino County,2013,14872,22.4,17.3,27.7,22,16.7,27.6
California,Merced County,2013,51507,29.5,24.2,35.6,29.4,24.2,35.4
California,Modoc County,2013,1632,23.2,17.3,29.7,22.7,16.6,29.8
California,Mono County,2013,2487,22.8,16.9,30.1,22.3,16.4,29.6
California,Monterey County,2013,67373,22.3,18.4,26.5,22.1,18.3,26.4
California,Napa County,2013,25093,23.7,19.1,29.1,23.4,18.7,28.9
California,Nevada County,2013,16591,21.1,16.8,26.1,20.4,15.7,25.8
California,Orange County,2013,454594,19.7,18,21.4,19.4,17.7,21.1
California,Placer County,2013,59334,21.7,18.4,25.1,21.3,18,24.8
California,Plumas County,2013,3480,23,17.5,28.9,22.3,16.4,28.7
California,Riverside County,2013,418753,26,23.9,28.2,25.8,23.7,28.1
California,Sacramento County,2013,292196,27.4,25.2,30,27.2,25,29.8
California,San Benito County,2013,9357,23.3,17.3,29.9,22.8,17,29.4
California,San Bernardino County,2013,404873,27.9,25.4,30.5,27.6,25.2,30.2
California,San Diego County,2013,459215,19.1,17.5,20.8,19,17.4,20.6
California,San Francisco County,2013,115017,16.1,13.7,18.5,16.2,13.8,18.6
California,San Joaquin County,2013,137657,28.3,25,32.1,28.1,24.6,31.8
California,San Luis Obispo County,2013,52136,24.5,20.5,28.8,24.2,20.1,28.6
California,San Mateo County,2013,120590,21.1,18.2,24,20.7,17.8,23.7
California,Santa Barbara County,2013,57998,18.2,15,21.7,18.2,14.9,21.7
California,Santa Clara County,2013,271468,19.5,17.7,21.5,19.3,17.5,21.3
California,Santa Cruz County,2013,40748,20.2,16.9,24.2,19.8,16.5,23.9
California,Shasta County,2013,36017,26.5,21.8,31.3,26.1,21.4,31.3
California,Sierra County,2013,559,22.5,16.7,28.9,21.4,15.3,28.8
California,Siskiyou County,2013,7851,23.2,18.1,28.3,22.8,17.4,28.3
California,Solano County,2013,94985,30.1,26.1,34.1,29.7,25.6,33.9
California,Sonoma County,2013,79223,20.9,18,24.2,20.5,17.5,24
California,Stanislaus County,2013,119492,32.6,28.3,36.9,32.5,28.1,36.9
California,Sutter County,2013,19382,28.7,22.9,35,28.5,22.5,34.9
California,Tehama County,2013,12635,27.2,21.2,33.7,27,20.7,33.9
California,Trinity County,2013,2723,25.1,19.2,33,24.4,18.1,32.9
California,Tulare County,2013,96522,32.6,27.4,37.7,32.4,27.3,37.6
California,Tuolumne County,2013,8832,20.2,15.5,25.5,19.6,14.6,25.5
California,Ventura County,2013,123935,20.3,17.6,23.1,19.8,17.1,22.7
California,Yolo County,2013,34156,22.7,18.3,27.5,22.8,18.3,27.5
California,Yuba County,2013,12600,24.8,19.4,30.7,24.6,19.2,30.5
Colorado,Adams County,2013,86390,26.3,24.4,28.3,26.2,24.3,28.1
Colorado,Alamosa County,2013,2620,23,18.6,27.4,22.9,18.5,27.3
Colorado,Arapahoe County,2013,94948,21.4,19.9,22.9,21.2,19.7,22.7
Colorado,Archuleta County,2013,1597,16.5,13.2,20.1,16,12.5,19.9
Colorado,Baca County,2013,550,19.4,14.7,25,19.2,14,25.1
Colorado,Bent County,2013,1242,26.5,20.4,33,26.5,20.2,33.1
Colorado,Boulder County,2013,31116,13.4,11.9,15,13.3,11.8,15
Colorado,Broomfield County,2013,7763,17.6,14.2,21.3,17.5,14,21.2
Colorado,Chaffee County,2013,3082,20.5,16.8,24.6,20.5,16.5,24.9
Colorado,Cheyenne County,2013,329,23.7,18.1,30.3,23.5,17.7,30.4
Colorado,Clear Creek County,2013,1370,18.1,14.1,22.6,17.5,13.3,22.3
Colorado,Conejos County,2013,1419,24.5,19.7,29.9,24.5,19.5,30.3
Colorado,Costilla County,2013,610,21.9,16.9,28.1,21.9,16.5,28.9
Colorado,Crowley County,2013,976,21.6,16.1,28.4,21.5,16,28.2
Colorado,Custer County,2013,727,20.5,15.7,26.2,20.3,14.9,26.6
Colorado,Delta County,2013,4735,20.4,17,24,20.3,16.5,24.4
Colorado,Denver County,2013,82171,16.4,15.1,17.8,16.7,15.3,18
Colorado,Dolores County,2013,305,19.8,15,25.6,19.6,14.5,25.9
Colorado,Douglas County,2013,35803,17,15.2,18.8,16.6,14.8,18.4
Colorado,Eagle County,2013,4601,11.8,9.2,14.6,11.8,9.3,14.6
Colorado,Elbert County,2013,3457,19.6,16.8,22.6,18.7,15.7,21.9
Colorado,El Paso County,2013,104881,22.3,20.8,23.8,22.2,20.7,23.7
Colorado,Fremont County,2013,8657,22.8,19.7,26.1,22.9,19.6,26.6
Colorado,Garfield County,2013,8130,20,16.7,23.8,19.7,16.5,23.4
Colorado,Gilpin County,2013,893,19.7,15.1,25.1,19,14.2,24.4
Colorado,Grand County,2013,1987,17.4,13.4,22.2,16.9,12.8,21.9
Colorado,Gunnison County,2013,1765,14.8,11.1,18.7,14.8,11.1,18.6
Colorado,Hinsdale County,2013,133,20.5,14.9,27.3,20.2,14.2,27.4
Colorado,Huerfano County,2013,1081,20.1,15.9,25.5,20,15.2,25.9
Colorado,Jackson County,2013,234,21.4,15.9,27.7,21.1,15.4,28
Colorado,Jefferson County,2013,77277,18.3,17,19.7,18.1,16.7,19.6
Colorado,Kiowa County,2013,212,19.5,14.8,25.8,19.2,14.2,26.2
Colorado,Kit Carson County,2013,1672,27.6,22.6,33.2,27.8,22.7,33.6
Colorado,Lake County,2013,940,17.5,12.8,23,17.2,12.6,22.8
Colorado,La Plata County,2013,6699,16.3,13.8,19.2,16.1,13.5,19
Colorado,Larimer County,2013,44701,18.7,16.9,20.6,18.5,16.8,20.5
Colorado,Las Animas County,2013,2357,21,16.6,25.7,20.9,16.3,25.9
Colorado,Lincoln County,2013,1013,23.8,19.1,28.9,23.9,18.8,29.2
Colorado,Logan County,2013,4380,25.4,20.9,30.3,25.4,20.7,30.5
Colorado,Mesa County,2013,25692,23.5,21.1,25.8,23.4,20.9,26.1
Colorado,Mineral County,2013,112,18.1,13.3,23.2,17.5,12.4,23.2
Colorado,Moffat County,2013,2441,25.8,22,30.2,25.5,21.6,29.9
Colorado,Montezuma County,2013,4198,21.7,18.2,25.8,21.5,17.7,25.8
Colorado,Montrose County,2013,6015,19.7,16.5,23.3,19.6,16,23.5
Colorado,Morgan County,2013,5393,26.9,22.9,31.3,27,22.8,31.7
Colorado,Otero County,2013,3615,26.9,22.5,31.4,27.2,22.6,32.3
Colorado,Ouray County,2013,691,18.6,13.7,24,17.9,12.7,24
Colorado,Park County,2013,2685,20.5,16.9,24.4,19.6,15.7,23.8
Colorado,Phillips County,2013,725,22.8,17.6,28.8,22.8,17.3,29.3
Colorado,Pitkin County,2013,2115,14.9,11.1,19.1,14.5,10.6,18.8
Colorado,Prowers County,2013,2233,26.1,20.8,32,26.1,20.6,32.3
Colorado,Pueblo County,2013,30771,25.9,23.2,28.7,25.9,23.1,29
Colorado,Rio Blanco County,2013,1097,22.6,18.2,27.9,22.4,17.9,27.8
Colorado,Rio Grande County,2013,2001,23.2,18.5,28.2,23.2,18.3,28.5
Colorado,Routt County,2013,2621,14.3,11.7,17.1,14,11.4,16.8
Colorado,Saguache County,2013,925,19.7,15.7,24.7,19.2,14.9,24.5
Colorado,San Juan County,2013,113,19.3,13.6,25.8,18.9,13,26
Colorado,San Miguel County,2013,1015,16.7,12.2,21.7,16.3,11.9,21.2
Colorado,Sedgwick County,2013,404,22.1,16.7,28.4,22,16.1,29.3
Colorado,Summit County,2013,3095,13.1,10,16.7,13.1,10,16.6
Colorado,Teller County,2013,3720,20.3,16.8,24.1,19.8,16,24
Colorado,Washington County,2013,841,23.2,17.5,28.9,23.1,17.3,29.4
Colorado,Weld County,2013,49141,26,23.7,28.4,25.8,23.6,28.3
Colorado,Yuma County,2013,1794,24.8,19.6,30.3,24.8,19.2,30.7
Connecticut,Fairfield County,2013,147726,21.4,20.3,22.6,21,19.8,22.3
Connecticut,Hartford County,2013,181479,26.8,25.6,28,26.4,25.1,27.7
Connecticut,Litchfield County,2013,34632,23.9,21.6,26.2,23.3,20.7,26
Connecticut,Middlesex County,2013,30898,24.1,21.5,26.7,23.5,20.8,26.4
Connecticut,New Haven County,2013,172644,26.5,25.2,27.9,26.2,24.9,27.7
Connecticut,New London County,2013,57863,27.6,25.7,29.5,27.3,25.2,29.4
Connecticut,Tolland County,2013,28192,24.8,22.6,27.2,24.6,22.2,27
Connecticut,Windham County,2013,26324,29.6,27,32.4,29,26.4,31.9
Delaware,Kent County,2013,40600,32.8,31.2,34.4,32.5,30.8,34.2
Delaware,New Castle County,2013,113560,27.7,26.5,28.9,27.2,26,28.5
Delaware,Sussex County,2013,50125,31,29.5,32.5,30.8,29,32.6
District of Columbia,District of Columbia,2013,115146,22.4,21.5,23.3,22.7,22,23.6
Florida,Alachua County,2013,49715,25.6,22.7,28.6,25.6,22.9,28.7
Florida,Baker County,2013,7049,35.8,31.8,40.2,35.6,31.5,40
Florida,Bay County,2013,39932,29.9,26.7,33.2,29.8,26.4,33.3
Florida,Bradford County,2013,7532,35.9,31.7,40.1,36,31.6,40.4
Florida,Brevard County,2013,111185,25.6,22.7,28.2,25.7,22.6,28.7
Florida,Broward County,2013,341444,24.4,22.4,26.5,24.2,22.1,26.4
Florida,Calhoun County,2013,4438,39.4,34.9,43.9,39.8,35,44.7
Florida,Charlotte County,2013,36050,25.7,22.6,29,26.1,22.2,30.1
Florida,Citrus County,2013,30478,26.3,23.3,29.3,27.5,23.8,31.2
Florida,Clay County,2013,42495,29.7,26.1,33.2,29.4,25.8,33.2
Florida,Collier County,2013,52629,19.5,16.9,22.1,19.8,16.9,22.8
Florida,Columbia County,2013,18658,36.3,32.5,40.7,36.4,32.2,41.1
Florida,DeSoto County,2013,9518,36,31.7,40.7,36.7,32,41.6
Florida,Dixie County,2013,3864,30.6,26.4,35.1,30.8,26,35.8
Florida,Duval County,2013,202629,30.6,28.4,32.9,30.4,28.1,32.7
Florida,Escambia County,2013,66616,28.9,26.1,31.7,28.7,25.9,31.8
Florida,Flagler County,2013,19243,24.2,21.2,27.4,24.3,20.8,28
Florida,Franklin County,2013,3074,32.2,27.6,37,32.5,27.6,37.8
Florida,Gadsden County,2013,12693,36.5,32.2,40.7,36.2,31.6,40.7
Florida,Gilchrist County,2013,4034,31.5,27,35.7,31.5,26.6,36.1
Florida,Glades County,2013,3538,33.1,28.6,38.1,34.3,29.6,40
Florida,Gulf County,2013,4058,30.9,26.7,35.5,31,26.4,35.7
Florida,Hamilton County,2013,3748,33.2,28.7,37.6,33.1,28.6,37.7
Florida,Hardee County,2013,6516,33.9,29.6,38.5,34,29.7,38.9
