State,County,percent,Poverty
South Carolina,Berkeley County,35,13.9
South Carolina,Calhoun County,35.3,19.6
South Carolina,Charleston County,24.6,17.2
South Carolina,Cherokee County,36.5,23.8
South Carolina,Chester County,36.1,27
South Carolina,Chesterfield County,34.8,26.2
South Carolina,Clarendon County,42.3,25.2
South Carolina,Colleton County,39,22.3
South Carolina,Darlington County,37.7,23.9
South Carolina,Dillon County,37.4,33.9
South Carolina,Dorchester County,33.9,13.1
South Carolina,Edgefield County,32.7,16.4
South Carolina,Fairfield County,41.3,24.4
South Carolina,Florence County,34.1,19.8
South Carolina,Georgetown County,30.8,21
South Carolina,Greenville County,28.1,15.6
South Carolina,Greenwood County,33.5,23.7
South Carolina,Hampton County,42,20.8
South Carolina,Horry County,29.8,18.1
South Carolina,Jasper County,37,23.5
South Carolina,Kershaw County,31.7,16.8
South Carolina,Lancaster County,31.3,18.7
South Carolina,Laurens County,40.8,20.9
South Carolina,Lee County,44.3,27.7
South Carolina,Lexington County,33.4,14.2
South Carolina,McCormick County,35.2,19.5
South Carolina,Marion County,39.9,27.8
South Carolina,Marlboro County,39.2,29
South Carolina,Newberry County,35.5,17.6
South Carolina,Oconee County,28,20.1
South Carolina,Orangeburg County,41.9,23.5
South Carolina,Pickens County,30.2,20
South Carolina,Richland County,32.6,17.1
South Carolina,Saluda County,35.6,20.5
South Carolina,Spartanburg County,30.5,17.5
South Carolina,Sumter County,34.4,18
South Carolina,Union County,36.9,20.3
South Carolina,Williamsburg County,42.5,29.8
South Carolina,York County,29.4,13.5
South Dakota,Aurora County,28,8.6
South Dakota,Beadle County,32,20.8
South Dakota,Bennett County,36.6,40.5
South Dakota,Bon Homme County,29.6,10.4
South Dakota,Brookings County,27.4,16.3
South Dakota,Brown County,32.2,9.8
South Dakota,Brule County,34.4,15.4
South Dakota,Buffalo County,42,35
South Dakota,Butte County,31.3,10.6
South Dakota,Campbell County,30.9,9.1
South Dakota,Charles Mix County,33.6,22.1
South Dakota,Clark County,30.6,15.9
South Dakota,Clay County,31.1,27.6
South Dakota,Codington County,31.2,10.3
South Dakota,Corson County,40.9,45.6
South Dakota,Custer County,29.7,10.5
South Dakota,Davison County,34.3,12.6
South Dakota,Day County,30.8,22.1
South Dakota,Deuel County,33.3,7.7
South Dakota,Dewey County,39.9,27.8
South Dakota,Douglas County,29.8,8.6
South Dakota,Edmunds County,29.1,12.3
South Dakota,Fall River County,31.7,16.6
South Dakota,Faulk County,29.3,16.4
South Dakota,Grant County,30.6,8.1
South Dakota,Gregory County,32.2,18.4
South Dakota,Haakon County,30.1,16.8
South Dakota,Hamlin County,30.8,7.3
South Dakota,Hand County,29.9,8.2
South Dakota,Hanson County,28.9,12
South Dakota,Harding County,32.4,13.4
South Dakota,Hughes County,28.3,10.2
South Dakota,Hutchinson County,31,13.3
South Dakota,Hyde County,30.5,12.2
South Dakota,Jackson County,34.8,33.3
South Dakota,Jerauld County,27.8,8.9
South Dakota,Jones County,29.3,11.4
South Dakota,Kingsbury County,33.8,10.1
South Dakota,Lake County,31.3,15.2
South Dakota,Lawrence County,25.7,13.1
South Dakota,Lincoln County,28.7,4.4
South Dakota,Lyman County,33.5,20.4
South Dakota,McCook County,28.5,8.6
South Dakota,McPherson County,27.3,22.1
South Dakota,Marshall County,32.2,15.1
South Dakota,Meade County,27,10.8
South Dakota,Mellette County,32.4,45.3
South Dakota,Miner County,31.4,10.4
South Dakota,Minnehaha County,27.8,11.8
South Dakota,Moody County,32.9,14.3
South Dakota,Pennington County,27.3,53.3
South Dakota,Perkins County,32.8,12.7
South Dakota,Potter County,29.2,13.6
South Dakota,Roberts County,32,11.6
South Dakota,Sanborn County,29.7,20.2
South Dakota,Shannon County,42.9,10.4
South Dakota,Spink County,31.4,12.5
South Dakota,Stanley County,33.4,8.2
South Dakota,Sully County,33.1,5.1
South Dakota,Todd County,38,46.4
South Dakota,Tripp County,30.7,22.8
South Dakota,Turner County,32.9,9.4
South Dakota,Union County,30.4,5.3
South Dakota,Walworth County,28.4,12.2
South Dakota,Yankton County,30,14.2
South Dakota,Ziebach County,42,39.5
Tennessee,Anderson County,31.7,17.9
Tennessee,Bedford County,32.1,17.1
Tennessee,Benton County,32.4,22.8
Tennessee,Bledsoe County,32.7,21.7
Tennessee,Blount County,34,14.1
Tennessee,Bradley County,34.9,19.6
Tennessee,Campbell County,32.5,23.2
Tennessee,Cannon County,33.3,18.4
Tennessee,Carroll County,32.4,20.8
Tennessee,Carter County,31.8,23.6
Tennessee,Cheatham County,33.8,13.8
Tennessee,Chester County,32,21.7
Tennessee,Claiborne County,30.8,21.9
Tennessee,Clay County,31.3,23.5
Tennessee,Cocke County,34.4,26.1
Tennessee,Coffee County,35.9,18.6
Tennessee,Crockett County,33,19.9
Tennessee,Cumberland County,29.2,16.5
Tennessee,Davidson County,30.9,18.2
Tennessee,Decatur County,36.3,21.6
Tennessee,DeKalb County,31.8,20.9
Tennessee,Dickson County,35.9,16.3
Tennessee,Dyer County,37.2,17.8
Tennessee,Fayette County,31.1,13.9
Tennessee,Fentress County,35.5,26
Tennessee,Franklin County,30.9,17.1
Tennessee,Gibson County,32.3,18.7
Tennessee,Giles County,32.1,16.4
Tennessee,Grainger County,35,20.6
Tennessee,Greene County,29.8,20.5
Tennessee,Grundy County,31.3,28.7
Tennessee,Hamblen County,30.8,21.3
Tennessee,Hamilton County,30.2,16
Tennessee,Hancock County,30.6,27.7
Tennessee,Hardeman County,37.8,24.8
Tennessee,Hardin County,31.9,23.3
Tennessee,Hawkins County,32.9,19.1
Tennessee,Haywood County,38.4,22.8
Tennessee,Henderson County,34.8,21.5
Tennessee,Henry County,33.7,18.5
Tennessee,Hickman County,32.1,20.9
Tennessee,Houston County,33.2,23.1
Tennessee,Humphreys County,35.6,15.9
Tennessee,Jackson County,34.7,26.8
Tennessee,Jefferson County,34.2,16.5
Tennessee,Johnson County,29.2,25.6
Tennessee,Knox County,29.7,16
Tennessee,Lake County,37.5,27
Tennessee,Lauderdale County,38.3,26.7
Tennessee,Lawrence County,34,20.3
Tennessee,Lewis County,34.3,19.6
Tennessee,Lincoln County,32.1,16.7
Tennessee,Loudon County,27.5,14.4
Tennessee,McMinn County,33.7,19.9
Tennessee,McNairy County,38.6,20.7
Tennessee,Macon County,34.2,18.9
Tennessee,Madison County,34.3,19.6
Tennessee,Marion County,32.9,19.2
Tennessee,Marshall County,31.3,16.2
Tennessee,Maury County,33.6,15.3
Tennessee,Meigs County,27.9,20.8
Tennessee,Monroe County,35.5,19.3
Tennessee,Montgomery County,29,15.8
Tennessee,Moore County,32,10.8
Tennessee,Morgan County,30.3,22.7
Tennessee,Obion County,33.6,20.6
Tennessee,Overton County,33,21.5
Tennessee,Perry County,31.4,25.8
Tennessee,Pickett County,33.1,16.1
Tennessee,Polk County,34.9,18.9
Tennessee,Putnam County,32.6,25.2
Tennessee,Rhea County,30.4,24.5
Tennessee,Roane County,34.1,18.4
Tennessee,Robertson County,35.6,12
Tennessee,Rutherford County,33,12.4
Tennessee,Scott County,28.9,27.3
Tennessee,Sequatchie County,28.3,16.3
Tennessee,Sevier County,30.6,15.3
Tennessee,Shelby County,32.6,21.4
Tennessee,Smith County,36.8,16.3
Tennessee,Stewart County,31.4,19.5
Tennessee,Sullivan County,30.1,17.5
Tennessee,Sumner County,29.7,9.3
Tennessee,Tipton County,35.4,13.6
Tennessee,Trousdale County,32.9,17.3
Tennessee,Unicoi County,33.4,22.5
Tennessee,Union County,31,21.5
Tennessee,Van Buren County,32.1,18
Tennessee,Warren County,31.4,21.2
Tennessee,Washington County,32.2,18.1
Tennessee,Wayne County,32.7,21.8
Tennessee,Weakley County,30.9,19.1
Tennessee,White County,31.2,19.6
Tennessee,Williamson County,25.9,5.1
Tennessee,Wilson County,31.7,10.1
Texas,Anderson County,31.6,18.5
Texas,Andrews County,28.1,12.3
Texas,Angelina County,37.5,19.4
Texas,Aransas County,26.9,19
Texas,Archer County,27.1,9.9
Texas,Armstrong County,27.2,6.9
Texas,Atascosa County,27.9,16.4
Texas,Austin County,27,11.5
Texas,Bailey County,26.7,19
Texas,Bandera County,27.1,13
Texas,Bastrop County,33.1,14.3
Texas,Baylor County,28.1,11.9
Texas,Bee County,29.3,21.2
Texas,Bell County,29,15.3
Texas,Bexar County,27.3,17.4
Texas,Blanco County,28.7,9
Texas,Borden County,27.3,1.4
Texas,Bosque County,27.8,14.5
Texas,Bowie County,32.4,19.1
Texas,Brazoria County,31.2,11.2
Texas,Brazos County,28.4,27.9
Texas,Brewster County,27.7,13.5
Texas,Briscoe County,26.4,18.6
Texas,Brooks County,27.2,39.6
Texas,Brown County,25.2,18.3
Texas,Burleson County,29.8,16.2
Texas,Burnet County,30,16
Texas,Caldwell County,26.4,19.3
Texas,Calhoun County,29.1,19.3
Texas,Callahan County,28.4,19
Texas,Cameron County,33.2,33.8
Texas,Camp County,31.8,19.7
Texas,Carson County,28.4,7.3
Texas,Cass County,31.3,19.8
Texas,Castro County,28.1,17.1
Texas,Chambers County,28.6,10.6
Texas,Cherokee County,30.1,22.1
Texas,Childress County,27,20.2
Texas,Clay County,29.4,12.1
Texas,Cochran County,26.9,20
Texas,Coke County,28.1,11.6
Texas,Coleman County,28.1,22.6
Texas,Collin County,24.6,7.6
Texas,Collingsworth County,28,22.6
Texas,Colorado County,28.5,15.1
Texas,Comal County,26.7,8.8
Texas,Comanche County,28.3,23.2
Texas,Concho County,27.5,11.1
Texas,Cooke County,29.2,13.9
Texas,Coryell County,30.3,13.8
Texas,Cottle County,27.4,22.7
Texas,Crane County,29.3,13.1
Texas,Crockett County,27.9,17.5
Texas,Crosby County,27.8,22.9
Texas,Culberson County,27.6,29.7
Texas,Dallam County,31.5,17
Texas,Dallas County,27.6,19.3
Texas,Dawson County,29.9,16.6
Texas,Deaf Smith County,29.4,20.8
Texas,Delta County,28,22.8
Texas,Denton County,22.1,8.8
Texas,DeWitt County,30.6,15.1
Texas,Dickens County,26.6,20.1
Texas,Dimmit County,29.9,18.9
Texas,Donley County,27.6,17.7
Texas,Duval County,27.8,23.9
Texas,Eastland County,28.2,18.2
Texas,Ector County,31.6,13
Texas,Edwards County,27.1,10.8
Texas,Ellis County,29.8,12.1
Texas,El Paso County,28.4,22.8
Texas,Erath County,28.2,24.4
Texas,Falls County,29.8,22
Texas,Fannin County,28.4,17.2
Texas,Fayette County,27.1,12.4
Texas,Fisher County,26.7,17.5
Texas,Floyd County,26.8,22.4
Texas,Foard County,26.3,9.8
Texas,Fort Bend County,23.9,8.2
Texas,Franklin County,26.9,16.5
Texas,Freestone County,28.5,14.9
Texas,Frio County,27.5,22.1
Texas,Gaines County,30.6,11.6
Texas,Galveston County,27.6,13.9
Texas,Garza County,27.5,10.4
Texas,Gillespie County,26.8,11.2
Texas,Glasscock County,26.8,3.4
Texas,Goliad County,29.2,18.6
Texas,Gonzales County,29.5,20.3
Texas,Gray County,28.4,13.3
Texas,Grayson County,28.9,16.2
Texas,Gregg County,35.3,18.2
Texas,Grimes County,29.1,19.8
Texas,Guadalupe County,30.9,9.8
Texas,Hale County,30.6,23
Texas,Hall County,29.1,26.9
Texas,Hamilton County,30,14.5
Texas,Hansford County,28.1,17.1
Texas,Hardeman County,28.5,14.8
Texas,Hardin County,32.1,12.2
Texas,Harris County,27.2,18
Texas,Harrison County,33.3,17.2
Texas,Hartley County,27.3,6.4
Texas,Haskell County,27.3,20.5
Texas,Hays County,23.8,16.9
Texas,Hemphill County,26.8,12.3
Texas,Henderson County,30.2,18.8
Texas,Hidalgo County,34.4,34.2
Texas,Hill County,28.7,20.8
Texas,Hockley County,30.7,14.6
Texas,Hood County,26.5,11.7
Texas,Hopkins County,30.5,19.9
Texas,Houston County,28.3,25
Texas,Howard County,31.1,15.6
Texas,Hudspeth County,26.3,40.3
Texas,Hunt County,27,18.9
Texas,Hutchinson County,31.1,16.1
Texas,Irion County,27.9,11.6
Texas,Jack County,26.9,17.2
Texas,Jackson County,32.2,12.4
Texas,Jasper County,29.1,17
Texas,Jeff Davis County,26.2,5.7
Texas,Jefferson County,33.2,19.9
Texas,Jim Hogg County,27.3,17.5
Texas,Jim Wells County,28.5,22.3
Texas,Johnson County,30.2,12.1
Texas,Jones County,27.4,18.3
Texas,Karnes County,29.2,25.4
Texas,Kaufman County,27.2,14
Texas,Kendall County,27.3,7.8
Texas,Kenedy County,26.4,26.7
Texas,Kent County,26.4,9.6
Texas,Kerr County,26.7,15.9
Texas,Kimble County,28.4,20.6
Texas,King County,27.5,7.1
Texas,Kinney County,26.7,17.8
Texas,Kleberg County,28,26.1
Texas,Knox County,26.6,16.5
Texas,Lamar County,32.7,18.6
Texas,Lamb County,31,23.5
Texas,Lampasas County,28.2,14.6
Texas,La Salle County,26.6,15.6
Texas,Lavaca County,32,9.2
Texas,Lee County,28.1,14.7
Texas,Leon County,29.5,13.9
Texas,Liberty County,27.6,17.6
Texas,Limestone County,33.9,23.2
Texas,Lipscomb County,27.2,9.2
Texas,Live Oak County,27.6,15.3
Texas,Llano County,27,14.9
Texas,Loving County,29,28.9
Texas,Lubbock County,27.7,19.4
Texas,Lynn County,28.4,19.3
Texas,McCulloch County,28.5,18.8
Texas,McLennan County,28.6,21.5
Texas,McMullen County,32.2,11.8
Texas,Madison County,28.8,20.2
Texas,Marion County,31.3,22.6
Texas,Martin County,27.1,13.3
Texas,Mason County,26.2,14.3
Texas,Matagorda County,31.9,21.7
Texas,Maverick County,29.4,26.7
Texas,Medina County,32.2,14.9
Texas,Menard County,27.3,14.9
Texas,Midland County,30.9,8.8
Texas,Milam County,29.7,17.4
Texas,Mills County,26.1,14.6
Texas,Mitchell County,26.6,11.5
Texas,Montague County,25.9,15
Texas,Montgomery County,24.5,12
Texas,Moore County,29.9,20.1
Texas,Morris County,30,18.7
Texas,Motley County,26.8,16.9
Texas,Nacogdoches County,32.2,24.6
Texas,Navarro County,28.4,20.7
Texas,Newton County,28,12.9
Texas,Nolan County,29,21.2
Texas,Nueces County,33.6,18
Texas,Ochiltree County,28.7,13.7
Texas,Oldham County,29.3,13.1
Texas,Orange County,29.5,15.5
Texas,Palo Pinto County,29.4,19.8
Texas,Panola County,30.7,15
Texas,Parker County,29,9.9
Texas,Parmer County,29.4,17.2
Texas,Pecos County,28.6,12
Texas,Polk County,29.4,17.4
Texas,Potter County,31,22
Texas,Presidio County,26.1,21.7
Texas,Rains County,29.7,11
Texas,Randall County,26.6,10.5
Texas,Reagan County,27.7,15.5
Texas,Real County,27.6,16.6
Texas,Red River County,30.7,18.8
Texas,Reeves County,28.3,16.8
Texas,Refugio County,28.4,16.9
Texas,Roberts County,26.6,1.5
Texas,Robertson County,29.8,17.4
Texas,Rockwall County,25.3,6.3
Texas,Runnels County,26.8,20.3
Texas,Rusk County,30.8,17.5
Texas,Sabine County,27.8,27.4
Texas,San Augustine County,32.3,24.8
Texas,San Jacinto County,28.1,20.2
Texas,San Patricio County,33,15.3
Texas,San Saba County,27.4,15.2
Texas,Schleicher County,27.5,19.5
Texas,Scurry County,26.2,9.9
Texas,Shackelford County,28.3,19.1
Texas,Shelby County,31.2,21.8
Texas,Sherman County,27.5,12.4
Texas,Smith County,29.6,17.4
Texas,Somervell County,27.6,13.9
Texas,Starr County,29.6,36.6
Texas,Stephens County,27,20
Texas,Sterling County,27.4,16
Texas,Stonewall County,27,19.5
Texas,Sutton County,26.6,8.4
Texas,Swisher County,27.7,22.6
Texas,Tarrant County,29.1,15
Texas,Taylor County,30.8,17.4
Texas,Terrell County,26.8,20.2
Texas,Terry County,29.2,15.3
Texas,Throckmorton County,26.8,13.1
Texas,Titus County,30.9,21.4
Texas,Tom Green County,27.6,14.9
Texas,Travis County,20.3,16.4
Texas,Trinity County,27.4,16.7
Texas,Tyler County,31,16.7
Texas,Upshur County,29.6,13.5
Texas,Upton County,26.9,19.7
Texas,Uvalde County,30,19.9
Texas,Val Verde County,30,20.6
Texas,Van Zandt County,30.2,16.9
Texas,Victoria County,34.3,16.4
Texas,Walker County,29.7,25.8
Texas,Waller County,33.6,18.2
Texas,Ward County,28.5,16.5
Texas,Washington County,29.6,13.5
Texas,Webb County,31.3,31.8
Texas,Wharton County,31.9,17.6
Texas,Wheeler County,27.8,15.7
Texas,Wichita County,31.1,17.6
Texas,Wilbarger County,28,17.8
Texas,Willacy County,27.6,39
Texas,Williamson County,31.1,7.5
Texas,Wilson County,31.4,10.7
Texas,Winkler County,27.7,13.9
Texas,Wise County,30.9,11.7
Texas,Wood County,30.1,14.7
Texas,Yoakum County,26.7,11.9
Texas,Young County,27.1,15.2
Texas,Zapata County,26.3,37.4
Texas,Zavala County,27.4,33.4
Utah,Beaver County,25.7,12.5
Utah,Box Elder County,33.5,9.5
Utah,Cache County,21.8,15.6
Utah,Carbon County,26.6,15.3
Utah,Daggett County,26.1,7.2
Utah,Davis County,25,7.7
Utah,Duchesne County,27.6,10.4
Utah,Emery County,25.8,11.2
Utah,Garfield County,32.5,18
Utah,Grand County,22.3,18.7
Utah,Iron County,23.3,21
Utah,Juab County,28,14.3
Utah,Kane County,26.1,7.9
Utah,Millard County,31.3,12.9
Utah,Morgan County,22,5.4
Utah,Piute County,26.1,20.6
Utah,Rich County,26.4,14.6
Utah,Salt Lake County,25.4,12.4
Utah,San Juan County,26.7,28.1
Utah,Sanpete County,25.4,16.1
Utah,Sevier County,29.9,14.5
Utah,Summit County,14.4,7.8
Utah,Tooele County,31.7,7.2
Utah,Uintah County,27.6,9.3
Utah,Utah County,24.4,13.2
Utah,Wasatch County,23,10
Utah,Washington County,23.7,15
Utah,Wayne County,22.8,15.4
Utah,Weber County,28.4,13
Vermont,Addison County,23,9.2
Vermont,Bennington County,24.1,13.5
Vermont,Caledonia County,28.3,12.5
Vermont,Chittenden County,19.8,11.4
Vermont,Essex County,29.8,15
Vermont,Franklin County,27.5,8.7
Vermont,Grand Isle County,26.8,8.6
Vermont,Lamoille County,25.2,11.8
Vermont,Orange County,26.6,12.4
Vermont,Orleans County,28.5,15.5
Vermont,Rutland County,29.5,12.5
Vermont,Washington County,23,10.1
Vermont,Windham County,23.4,12.8
Vermont,Windsor County,24,11
Virginia,Accomack County,34.7,19.6
Virginia,Albemarle County,22.6,10.2
Virginia,Alleghany County,33,17
Virginia,Amelia County,29,11.6
Virginia,Amherst County,29.4,13
Virginia,Appomattox County,29.3,17.7
Virginia,Arlington County,16.1,9
Virginia,Augusta County,34,9.5
Virginia,Bath County,28.7,7.7
Virginia,Bedford County,33.1,9.7
Virginia,Bland County,30.9,10.8
Virginia,Botetourt County,25.6,8.2
Virginia,Brunswick County,35.9,22.2
Virginia,Buchanan County,31.8,26.1
Virginia,Buckingham County,33.5,19.1
Virginia,Campbell County,31.5,13.4
Virginia,Caroline County,29.6,13.3
Virginia,Carroll County,29.1,16.9
Virginia,Charles City County,35.2,13.2
Virginia,Charlotte County,33.5,21.3
Virginia,Chesterfield County,26,7.4
Virginia,Clarke County,26.8,11.1
Virginia,Craig County,27.8,11.8
Virginia,Culpeper County,31.8,9.3
Virginia,Cumberland County,32.1,20.5
Virginia,Dickenson County,35.1,21.4
Virginia,Dinwiddie County,32.7,14.8
Virginia,Essex County,32.7,13.9
Virginia,Fairfax County,20.3,6
Virginia,Fauquier County,25.5,5.6
Virginia,Floyd County,26.5,10
Virginia,Fluvanna County,27.6,6.6
Virginia,Franklin County,28.4,14.9
Virginia,Frederick County,31.7,6.5
Virginia,Giles County,30.3,11.3
Virginia,Gloucester County,34.5,7.4
Virginia,Goochland County,28.4,5.7
Virginia,Grayson County,30.3,21.4
Virginia,Greene County,27.9,9.9
Virginia,Greensville County,32.7,19.7
Virginia,Halifax County,32.4,19.2
Virginia,Hanover County,27.4,6
Virginia,Henrico County,27.5,10.7
Virginia,Henry County,32.3,18.3
Virginia,Highland County,26.3,12.6
Virginia,Isle of Wight County,29.3,11.7
Virginia,James City County,25.2,8.1
Virginia,King and Queen County,30.1,13.4
Virginia,King George County,28.3,5.5
Virginia,King William County,26.3,11.8
Virginia,Lancaster County,29.8,11.3
Virginia,Lee County,29.4,25.4
Virginia,Loudoun County,21.6,4
Virginia,Louisa County,32.4,10
Virginia,Lunenburg County,27.5,20.5
Virginia,Madison County,29.1,12.4
Virginia,Mathews County,27.8,7
Virginia,Mecklenburg County,30.9,19.8
Virginia,Middlesex County,26.2,9.5
Virginia,Montgomery County,24.2,24.8
Virginia,Nelson County,29.7,14.7
Virginia,New Kent County,28.2,7
Virginia,Northampton County,36.1,23
Virginia,Northumberland County,26.3,11
Virginia,Nottoway County,34,24.1
Virginia,Orange County,28.3,12.1
Virginia,Page County,28.3,16.4
Virginia,Patrick County,30.9,21.2
Virginia,Pittsylvania County,32,16.1
Virginia,Powhatan County,30,4.9
Virginia,Prince Edward County,32.1,21
Virginia,Prince George County,33.2,10
Virginia,Prince William County,25.5,6.7
Virginia,Pulaski County,33,13.5
Virginia,Rappahannock County,27.2,9.9
Virginia,Richmond County,29.9,10.5
Virginia,Roanoke County,26.6,8.3
Virginia,Rockbridge County,24.8,13.9
Virginia,Rockingham County,26.4,11.1
Virginia,Russell County,28.9,20.7
Virginia,Scott County,31.2,20.2
Virginia,Shenandoah County,26.6,12.2
Virginia,Smyth County,29.6,18.7
Virginia,Southampton County,31.1,15.7
Virginia,Spotsylvania County,32.7,8.2
Virginia,Stafford County,29.6,5.2
Virginia,Surry County,35.3,12.9
Virginia,Sussex County,35.9,20.5
Virginia,Tazewell County,30.3,17.7
Virginia,Warren County,29.2,9.8
Virginia,Washington County,30,12.8
Virginia,Westmoreland County,30.7,13.3
Virginia,Wise County,30.8,22.4
Virginia,Wythe County,31.3,15.1
Virginia,York County,26.1,6.4
Virginia,Alexandria city,20.1,8.3
Virginia,Bristol city,27.3,20.4
Virginia,Buena Vista city,25.9,28.4
Virginia,Charlottesville city,25.9,25.8
Virginia,Chesapeake city,32.3,9.7
Virginia,Colonial Heights city,26.8,11.4
Virginia,Covington city,26.4,25.5
Virginia,Danville city,34.1,23.7
Virginia,Emporia city,29.7,34.9
Virginia,Fairfax city,21.8,7
Virginia,Falls Church city,27.5,2.7
Virginia,Franklin city,34.4,21.2
Virginia,Fredericksburg city,28.8,16.5
Virginia,Galax city,26,26.8
Virginia,Hampton city,34.8,15.3
Virginia,Harrisonburg city,24.8,32.5
Virginia,Hopewell city,31.8,19
Virginia,Lexington city,26,20.2
Virginia,Lynchburg city,27.1,24.8
Virginia,Manassas city,28.7,9.7
Virginia,Manassas Park city,28.3,7.9
Virginia,Martinsville city,33.5,23.6
Virginia,Newport News city,32.3,15.7
Virginia,Norfolk city,30.1,21
Virginia,Norton city,26.2,24
Virginia,Petersburg city,41.4,28
Virginia,Poquoson city,24.7,4.2
Virginia,Portsmouth city,37.2,18.2
Virginia,Radford city,29.6,39
Virginia,Richmond city,30,25.5
Virginia,Roanoke city,31.9,21.2
Virginia,Salem city,25.2,11.2
Virginia,Staunton city,27.1,17.7
Virginia,Suffolk city,31.9,11.5
Virginia,Virginia Beach city,27.9,8.3
Virginia,Waynesboro city,29.7,18.3
Virginia,Williamsburg city,26,22.4
Virginia,Winchester city,26.7,16
Washington,Adams County,34.4,21.4
Washington,Asotin County,33.4,15.2
Washington,Benton County,31.5,14.2
Washington,Chelan County,26.7,14.3
Washington,Clallam County,26.3,15
Washington,Clark County,29.9,11.2
Washington,Columbia County,30,17.6
Washington,Cowlitz County,32.1,17.5
Washington,Douglas County,28.7,14.8
Washington,Ferry County,28.1,22
Washington,Franklin County,30.1,18.3
Washington,Garfield County,33.1,11.5
Washington,Grant County,34.3,17.9
Washington,Grays Harbor County,36.9,18.1
Washington,Island County,27.4,9.6
Washington,Jefferson County,24.5,12
Washington,King County,22.2,11.2
Washington,Kitsap County,29.6,10.6
Washington,Kittitas County,28.9,22.2
Washington,Klickitat County,27.5,15.2
Washington,Lewis County,32.8,16.3
Washington,Lincoln County,31.2,15.3
Washington,Mason County,30.5,17.2
Washington,Okanogan County,28,21.2
Washington,Pacific County,31.6,19.2
Washington,Pend Oreille County,28.8,21.5
Washington,Pierce County,30,12.7
Washington,San Juan County,20.7,11.6
Washington,Skagit County,26.4,16
Washington,Skamania County,28.1,13.7
Washington,Snohomish County,29.4,10.2
Washington,Spokane County,29.2,15.9
Washington,Stevens County,30.6,18
Washington,Thurston County,28.1,12.4
Washington,Wahkiakum County,31.4,17.1
Washington,Walla Walla County,28,17.6
Washington,Whatcom County,23.1,16
Washington,Whitman County,22.9,31.2
Washington,Yakima County,29.6,21.3
West Virginia,Barbour County,37.6,21.5
West Virginia,Berkeley County,34.3,14.2
West Virginia,Boone County,35.4,23.3
West Virginia,Braxton County,32.5,21
West Virginia,Brooke County,39,13.1
West Virginia,Cabell County,30.5,21.7
West Virginia,Calhoun County,32.7,17.7
West Virginia,Clay County,32.6,28.2
West Virginia,Doddridge County,35.7,15.7
West Virginia,Fayette County,35.6,19.9
West Virginia,Gilmer County,39,27
West Virginia,Grant County,38.9,15.4
West Virginia,Greenbrier County,34.2,18.7
West Virginia,Hampshire County,33.8,20.7
West Virginia,Hancock County,34.8,16.2
West Virginia,Hardy County,37,13.5
West Virginia,Harrison County,33.7,16.3
West Virginia,Jackson County,31.7,16.4
West Virginia,Jefferson County,33.2,11.6
West Virginia,Kanawha County,32.7,15.8
West Virginia,Lewis County,35.9,20.6
West Virginia,Lincoln County,39.9,27.3
West Virginia,Logan County,40.7,19.7
West Virginia,McDowell County,42.1,35.5
West Virginia,Marion County,32.6,16.2
West Virginia,Marshall County,35.2,13
West Virginia,Mason County,36.1,19.2
West Virginia,Mercer County,37.4,21.9
West Virginia,Mineral County,34.5,16.9
West Virginia,Mingo County,40.3,25.8
West Virginia,Monongalia County,28.8,22.1
West Virginia,Monroe County,30.9,16.8
West Virginia,Morgan County,32.6,12.9
West Virginia,Nicholas County,38.2,18.1
West Virginia,Ohio County,31.4,16.1
West Virginia,Pendleton County,36,20.6
West Virginia,Pleasants County,38.8,18
West Virginia,Pocahontas County,31.4,16.5
West Virginia,Preston County,35.9,14.6
West Virginia,Putnam County,34.6,9.8
West Virginia,Raleigh County,35.6,17.8
West Virginia,Randolph County,34.8,17
West Virginia,Ritchie County,35.7,20.7
West Virginia,Roane County,36.2,22.1
West Virginia,Summers County,36.1,17.6
West Virginia,Taylor County,37,16.6
West Virginia,Tucker County,37.8,14.9
West Virginia,Tyler County,32.6,19.8
West Virginia,Upshur County,38.2,18.1
West Virginia,Wayne County,37.7,20.6
West Virginia,Webster County,34.7,26.1
West Virginia,Wetzel County,33,19.8
West Virginia,Wirt County,36.9,13.7
West Virginia,Wood County,35.9,17.4
West Virginia,Wyoming County,38.8,21.8
Wisconsin,Adams County,34,14.1
Wisconsin,Ashland County,27.3,15.7
Wisconsin,Barron County,31.6,12.6
Wisconsin,Bayfield County,28.7,11.6
Wisconsin,Brown County,28.4,11.7
Wisconsin,Buffalo County,32,11.4
Wisconsin,Burnett County,28.7,15.6
Wisconsin,Calumet County,31.3,7
Wisconsin,Chippewa County,30.2,10.1
Wisconsin,Clark County,34.1,16.2
Wisconsin,Columbia County,34.7,8.8
Wisconsin,Crawford County,33.1,12.8
Wisconsin,Dane County,23.7,12.9
Wisconsin,Dodge County,31.7,9.2
Wisconsin,Door County,27.5,10.1
Wisconsin,Douglas County,32.2,15.8
Wisconsin,Dunn County,32.3,15.1
Wisconsin,Eau Claire County,29.2,15.3
Wisconsin,Florence County,32,9.3
Wisconsin,Fond du Lac County,30.1,9.2
Wisconsin,Forest County,34.7,16.9
Wisconsin,Grant County,31.9,15.4
Wisconsin,Green County,31.4,8.9
Wisconsin,Green Lake County,34.6,12.2
Wisconsin,Iowa County,31.8,10.4
Wisconsin,Iron County,29.1,11.3
